Title,Author,Quantity,Genre
arthurs honey bear,lillian hoban,1,Arts and Recreation
Artic Explorer,Jeri Ferris,1,Arts and Recreation
Artists and Their Art,Micheal Medearis,1,Arts and Recreation
Ashes,Laurie Halse Anderson,1,General Knowledge
Assignment Rescue,Varian Fry,1,General Knowledge
Atariba & Niguayona,Harriet Rohmer & Jesus Guerrero Rea,1,General Knowledge
Atlas of Planets,"Gallimard Jeunesse, Claude Delafosse, and Sylvaine Perols",1,Science
atlas of the earth,daniel moignot,1,Arts and Recreation
attack of the bandit cats,geronimo stilton,1,General Knowledge
Attack of the Growling Eyeballs,Lin Oliver,1,General Knowledge
Attack of the Killer Potatoes,Peter Lerangis,1,General Knowledge
Attack of the Vampire Weenies and Other Warped and Creepy Tales,David Lubar,1,Literature
attack on pearl harbor,shelley tanaka,1,General Knowledge
Augustus and His Smile,Catherine Rayner,1,General Knowledge
Aunt Chip and the Great Triple Creek Dam Affair,Patricia Polaco,1,General Knowledge
Auntie Claus and the Key To Christmas,Elise Primavera,1,General Knowledge
Avi,Safisha L. Madhubti,1,General Knowledge
Away In a Manger,Thomas Nelson,1,General Knowledge
Ayu and the Perfect Moon,David Cox,1,General Knowledge
Ba-Nam,Jeanne M. Lee,1,General Knowledge
Babe the Gallant Pig,Dick King-Smith,1,General Knowledge
"Babe, the Gallant Pig",Dick King-Smith,1,General Knowledge
Baboushka and the Three Kings,Ruth Robbins,1,General Knowledge
Baby,Patricia MacLachlan,3,General Knowledge
Baby Birds and How They Grow,National Geographic,1,General Knowledge
Baby Penguin,Aubrey Lang,1,General Knowledge
